"pagbrasil_bank_r","Bradesco Com&#233;rcio Eletr&#244;nico"
"pagbrasil_bank_e","Banco do Brasil Com&#233;rcio Eletr&#244;nico"
"pagbrasil_bank_s","Banricompras"
"Proceed to bank checkout","Proceed to bank checkout"
"Please select the bank to checkout","Please select the bank to checkout"

"You will be redirected to our secure payment page when you place an order.","You will be redirected to our secure payment page when you place an order."

"Payment failed.","Payment failed."
"Payment was canceled.","Payment was canceled."
"Pending order #%s created.","Pending order #%s created."
"Payment authorized.","Payment authorized."
"The CPF or CNPJ is not valid!","The CPF or CNPJ is not valid!"
"Please select your bank","Please select your bank"
"Payment","Payment"
"Please click here to view or print your boleto bancario","Please click here to view or print your boleto bancario"
